reportdate,hospital,dphcategory,covidstatus,patientcount,data_as_of,data_loaded_at
2020/06/12,All SF Hospitals,ICU,COVID+,13,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/12,All SF Hospitals,Med/Surg,COVID+,25,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/13,All SF Hospitals,ICU,COVID+,11,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/13,All SF Hospitals,Med/Surg,COVID+,26,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/14,All SF Hospitals,ICU,COVID+,7,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/14,All SF Hospitals,Med/Surg,COVID+,30,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/15,All SF Hospitals,ICU,COVID+,7,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/15,All SF Hospitals,Med/Surg,COVID+,25,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/16,All SF Hospitals,ICU,COVID+,7,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/16,All SF Hospitals,Med/Surg,COVID+,27,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/17,All SF Hospitals,ICU,COVID+,7,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/17,All SF Hospitals,Med/Surg,COVID+,25,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/18,All SF Hospitals,ICU,COVID+,7,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/18,All SF Hospitals,Med/Surg,COVID+,22,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/19,All SF Hospitals,ICU,COVID+,6,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/19,All SF Hospitals,Med/Surg,COVID+,20,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/20,All SF Hospitals,ICU,COVID+,6,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/20,All SF Hospitals,Med/Surg,COVID+,23,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/21,All SF Hospitals,ICU,COVID+,7,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/21,All SF Hospitals,Med/Surg,COVID+,23,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/22,All SF Hospitals,ICU,COVID+,8,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/22,All SF Hospitals,Med/Surg,COVID+,21,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/23,All SF Hospitals,ICU,COVID+,9,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/23,All SF Hospitals,Med/Surg,COVID+,22,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/24,All SF Hospitals,ICU,COVID+,10,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/24,All SF Hospitals,Med/Surg,COVID+,18,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/25,All SF Hospitals,ICU,COVID+,11,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/25,All SF Hospitals,Med/Surg,COVID+,26,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/26,All SF Hospitals,ICU,COVID+,13,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/26,All SF Hospitals,Med/Surg,COVID+,25,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/27,All SF Hospitals,ICU,COVID+,13,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/27,All SF Hospitals,Med/Surg,COVID+,30,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/28,All SF Hospitals,ICU,COVID+,13,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/28,All SF Hospitals,Med/Surg,COVID+,33,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/29,All SF Hospitals,ICU,COVID+,17,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/29,All SF Hospitals,Med/Surg,COVID+,32,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/30,All SF Hospitals,ICU,COVID+,19,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/06/30,All SF Hospitals,Med/Surg,COVID+,31,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/01,All SF Hospitals,ICU,COVID+,16,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/01,All SF Hospitals,Med/Surg,COVID+,34,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/02,All SF Hospitals,ICU,COVID+,14,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/02,All SF Hospitals,Med/Surg,COVID+,37,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/03,All SF Hospitals,ICU,COVID+,15,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/03,All SF Hospitals,Med/Surg,COVID+,36,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/04,All SF Hospitals,ICU,COVID+,15,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/04,All SF Hospitals,Med/Surg,COVID+,38,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/05,All SF Hospitals,ICU,COVID+,17,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/05,All SF Hospitals,Med/Surg,COVID+,38,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/06,All SF Hospitals,ICU,COVID+,13,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/06,All SF Hospitals,Med/Surg,COVID+,45,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/06,All SF Hospitals,Med/Surg,PUI,13,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/07,All SF Hospitals,ICU,COVID+,15,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/07,All SF Hospitals,Med/Surg,COVID+,46,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/07,All SF Hospitals,Med/Surg,PUI,12,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/08,All SF Hospitals,ICU,COVID+,17,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/08,All SF Hospitals,Med/Surg,COVID+,45,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/09,All SF Hospitals,ICU,COVID+,19,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/09,All SF Hospitals,Med/Surg,COVID+,40,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/10,All SF Hospitals,ICU,COVID+,22,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/10,All SF Hospitals,Med/Surg,COVID+,40,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/11,All SF Hospitals,ICU,COVID+,25,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/11,All SF Hospitals,Med/Surg,COVID+,45,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/12,All SF Hospitals,ICU,COVID+,23,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/12,All SF Hospitals,Med/Surg,COVID+,51,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/13,All SF Hospitals,ICU,COVID+,19,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/13,All SF Hospitals,Med/Surg,COVID+,57,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/14,All SF Hospitals,ICU,COVID+,23,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/14,All SF Hospitals,Med/Surg,COVID+,63,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/15,All SF Hospitals,ICU,COVID+,21,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/15,All SF Hospitals,Med/Surg,COVID+,59,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/16,All SF Hospitals,ICU,COVID+,20,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/16,All SF Hospitals,Med/Surg,COVID+,63,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/17,All SF Hospitals,ICU,COVID+,27,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/17,All SF Hospitals,Med/Surg,COVID+,56,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
2020/07/18,All SF Hospitals,ICU,COVID+,29,08/30/2023 04:00:05 PM,08/30/2023 05:30:07 PM
